temperature in °C,description,date
31,Partly cloudy,2023-01-02T10:30:06.165Z
31,Partly cloudy,2023-01-02T09:26:43.852Z
31,Partly cloudy,2023-01-02T08:32:24.560Z
31,Partly cloudy,2023-01-02T07:24:44.106Z
28,Partly cloudy,2023-01-02T06:32:38.481Z
28,Partly cloudy,2023-01-02T05:27:01.494Z
28,Partly cloudy,2023-01-02T04:32:37.770Z
28,Partly cloudy,2023-01-02T03:28:43.265Z
28,Partly cloudy,2023-01-02T02:46:26.299Z
25,Partly cloudy,2023-01-02T01:49:48.916Z
25,Partly cloudy,2023-01-01T23:26:36.295Z
25,Partly cloudy,2023-01-01T22:27:29.373Z
25,Partly cloudy,2023-01-01T21:24:21.095Z
25,Partly cloudy,2023-01-01T20:27:04.620Z
25,Partly cloudy,2023-01-01T19:24:28.228Z
25,Partly cloudy,2023-01-01T17:25:59.063Z
25,Partly cloudy,2023-01-01T15:27:03.007Z
26,Partly cloudy,2023-01-01T14:25:52.057Z
26,Partly cloudy,2023-01-01T13:28:43.870Z
26,Partly cloudy,2023-01-01T12:45:55.633Z
30,Partly cloudy,2023-01-01T09:25:41.578Z
30,Partly cloudy,2023-01-01T07:24:22.797Z
27,Partly cloudy,2023-01-01T06:31:26.784Z
27,Partly cloudy,2023-01-01T05:26:11.791Z
27,Partly cloudy,2023-01-01T04:32:03.355Z
27,Partly cloudy,2023-01-01T03:32:00.181Z
25,Partly cloudy,2023-01-01T02:59:43.543Z
25,Partly cloudy,2022-12-31T23:25:54.651Z
26,Partly cloudy,2022-12-31T22:27:07.848Z
26,Partly cloudy,2022-12-31T21:24:28.744Z
26,Partly cloudy,2022-12-31T20:26:19.126Z
26,Partly cloudy,2022-12-31T18:29:55.953Z
26,Partly cloudy,2022-12-31T17:25:44.169Z
26,Partly cloudy,2022-12-31T15:26:35.004Z
27,Partly cloudy,2022-12-31T14:25:41.345Z
27,Partly cloudy,2022-12-31T13:27:49.914Z
27,Partly cloudy,2022-12-31T12:44:14.597Z
27,Partly cloudy,2022-12-31T11:24:15.918Z
31,Partly cloudy,2022-12-31T10:28:27.538Z
31,Partly cloudy,2022-12-31T09:25:01.381Z
29,Partly cloudy,2022-12-31T07:24:28.400Z
29,Partly cloudy,2022-12-31T05:25:56.766Z
29,Partly cloudy,2022-12-31T04:31:51.650Z
29,Partly cloudy,2022-12-31T03:27:54.060Z
25,Light rain,2022-12-31T02:42:29.161Z
25,Light rain,2022-12-31T01:47:48.080Z
25,Light rain,2022-12-30T23:26:29.908Z
26,Partly cloudy,2022-12-30T22:27:42.190Z
26,Partly cloudy,2022-12-30T21:24:32.854Z
26,Partly cloudy,2022-12-30T20:26:57.619Z
26,Partly cloudy,2022-12-30T19:24:21.025Z
26,Partly cloudy,2022-12-30T18:31:06.588Z
26,Partly cloudy,2022-12-30T17:26:35.817Z
26,Partly cloudy,2022-12-30T15:27:37.818Z
26,Partly cloudy,2022-12-30T14:26:10.358Z
26,Partly cloudy,2022-12-30T13:29:53.531Z
29,Partly cloudy,2022-12-30T07:24:26.603Z
29,Partly cloudy,2022-12-30T06:32:39.381Z
29,Partly cloudy,2022-12-30T05:26:34.427Z
29,Partly cloudy,2022-12-30T04:32:14.289Z
25,Partly cloudy,2022-12-30T03:28:46.586Z
25,Partly cloudy,2022-12-30T02:47:03.344Z
25,Partly cloudy,2022-12-30T01:51:10.622Z
25,Partly cloudy,2022-12-29T23:28:34.294Z
25,Partly cloudy,2022-12-29T22:28:13.698Z
25,Partly cloudy,2022-12-29T21:25:05.493Z
25,Partly cloudy,2022-12-29T20:27:46.013Z
25,Partly cloudy,2022-12-29T19:24:28.965Z
25,Partly cloudy,2022-12-29T18:31:21.808Z
25,Partly cloudy,2022-12-29T17:27:08.661Z
25,Partly cloudy,2022-12-29T16:38:26.910Z
25,Partly cloudy,2022-12-29T15:28:20.217Z
25,Partly cloudy,2022-12-29T14:26:42.638Z
25,Partly cloudy,2022-12-29T13:29:55.375Z
25,Partly cloudy,2022-12-29T12:46:33.309Z
29,Partly cloudy,2022-12-29T07:24:43.151Z
29,Partly cloudy,2022-12-29T06:32:17.456Z
29,Partly cloudy,2022-12-29T05:26:58.507Z
25,Partly cloudy,2022-12-29T03:28:45.180Z
25,Partly cloudy,2022-12-29T02:46:24.120Z
25,Partly cloudy,2022-12-29T01:50:37.897Z
26,Partly cloudy,2022-12-28T23:26:49.348Z
26,Partly cloudy,2022-12-28T22:28:15.238Z
26,Partly cloudy,2022-12-28T21:24:50.482Z
26,Partly cloudy,2022-12-28T20:27:16.895Z
26,Partly cloudy,2022-12-28T19:24:16.287Z
26,Partly cloudy,2022-12-28T18:31:28.270Z
26,Partly cloudy,2022-12-28T17:26:48.980Z
25,Partly cloudy,2022-12-28T15:28:07.865Z
27,Partly cloudy,2022-12-28T14:26:38.626Z
27,Partly cloudy,2022-12-28T12:46:12.186Z
27,Partly cloudy,2022-12-28T11:24:20.854Z
27,Partly cloudy,2022-12-28T09:26:21.951Z
30,Partly cloudy,2022-12-28T07:24:45.019Z
30,Partly cloudy,2022-12-28T06:32:52.182Z
30,Partly cloudy,2022-12-28T05:26:53.860Z
25,Partly cloudy,2022-12-28T03:29:13.333Z
